id,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating
001,Entire home/apt,4,1,2,70,3.6
002,Entire home/apt,2,1,1,102,4.8
003,Entire home/apt,2,1,0,75,4.5
004,Entire home/apt,2,1,1,96,4.7
005,Entire home/apt,4,1,1,88,4.8
006,Private room,2,1,1,52,4.6
007,Private room,1,1,1,47,4.8
008,Entire home/apt,10,2,3,213,5.0
009,Private room,1,1.5,0,55,4.8
010,Private room,2,1,1,41,4.6
011,Private room,1,1,1,47,4.8
012,Entire home/apt,8,2,4,219,4.7
013,Private room,1,1,1,45,4.7
014,Entire home/apt,7,2,2,192,5.0
015,Private room,2,1,1,53,4.7
016,Private room,2,1,1,60,4.8
017,Private room,1,1,1,41,4.8
018,Entire home/apt,6,1,2,376,5.0
019,Private room,2,1,1,70,5.0
020,Private room,2,1,2,45,4.6
021,Entire home/apt,9,2,5,290,4.9
022,Entire home/apt,6,1,2,148,5.0
023,Entire home/apt,4,1,1,116,4.9
024,Entire home/apt,2,1,1,68,4.9
025,Private room,2,1,1,36,4.8
026,Entire home/apt,2,1,1,60,4.9
027,Entire home/apt,15,1.5,4,582,5.0
028,Entire home/apt,4,1,1,70,4.8
029,Private room,2,1,1,32,4.8
030,Private room,1,1,1,35,4.8
031,Private room,2,1,1,54,4.9
032,Private room,2,1,1,68,4.9
033,Private room,2,1,1,54,4.9
034,Entire home/apt,2,1,1,73,4.9
035,Private room,2,1,1,93,4.9
036,Entire home/apt,4,1,1,81,4.9
037,Private room,2,1,1,54,5.0
038,Entire home/apt,4,1.5,2,250,4.9
039,Private room,1,1,1,75,5.0
040,Private room,2,1,1,50,5.0
041,Entire home/apt,5,1,1,69,4.8
042,Entire home/apt,3,1,0,56,4.7
043,Private room,2,1,1,70,5.0
044,Entire home/apt,2,1,1,90,4.6
045,Private room,1,1,1,59,4.9
046,Private room,1,1,1,47,4.7
047,Private room,1,1.5,1,54,5.0
048,Private room,4,1,2,104,5.0
049,Entire home/apt,6,1,2,86,4.8
050,Entire home/apt,6,1,2,124,4.8
051,Private room,2,1,1,50,5.0
052,Entire home/apt,2,1,1,114,4.8
053,Entire home/apt,4,1,2,92,4.8
054,Private room,1,1.5,1,53,5.0
055,Entire home/apt,4,1,2,121,4.7
056,Entire home/apt,4,1,1,78,4.5
057,Entire home/apt,5,1,2,92,4.9
058,Entire home/apt,4,1,1,117,5.0
059,Entire home/apt,4,1.5,2,97,5.0
060,Entire home/apt,4,1,2,88,4.8
061,Private room,2,1,1,52,4.9
062,Entire home/apt,6,1.5,3,102,4.8
063,Entire home/apt,4,1,2,91,4.8
064,Entire home/apt,3,1,1,122,4.9
065,Entire home/apt,6,1,3,248,4.9
066,Entire home/apt,4,1,0,99,5.0
067,Entire home/apt,4,1,1,108,5.0
068,Entire home/apt,4,1,2,146,4.9
069,Entire home/apt,3,1,1,142,5.0
070,Entire home/apt,4,1,0,70,4.7
071,Entire home/apt,4,1,1,85,4.7
072,Entire home/apt,3,1,1,108,4.6
073,Entire home/apt,3,1,1,108,4.8
074,Entire home/apt,4,1,2,117,4.7
075,Entire home/apt,4,1,2,152,5.0
076,Entire home/apt,4,1,2,93,4.9
077,Entire home/apt,2,1,1,96,4.6
078,Entire home/apt,3,1,1,79,4.9
079,Private room,3,1,1,92,5.0
080,Entire home/apt,4,1,2,122,4.4
081,Entire home/apt,5,2,2,112,5.0
082,Entire home/apt,4,1,1,92,4.9
083,Entire home/apt,6,1,3,170,4.8
084,Private room,1,1,1,41,4.9
085,Entire home/apt,13,5.5,5,445,5.0
086,Entire home/apt,2,1,1,93,4.7
087,Entire home/apt,4,1,2,95,5.0
088,Entire home/apt,2,1,1,77,5.0
089,Entire home/apt,3,1,1,104,4.8
090,Entire home/apt,3,1,1,105,5.0
091,Entire home/apt,4,1,2,101,4.5
092,Private room,1,1,1,44,4.9
093,Entire home/apt,2,1,1,108,4.6
